Statistical profiling result from isolate-0x118008000-64678-v8.log, (6882 ticks, 113 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: +createVariableDeclarationList /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:27189:41
      2    0.0%    0.0%  JS: +_t /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:674:6
      2    0.0%    0.0%  JS: *visitNodes /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32310:20
      2    0.0%    0.0%  JS: *resolve node:path:1175:10
      2    0.0%    0.0%  JS: *parseExpected /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33618:25
      2    0.0%    0.0%  JS: *parseBinaryExpressionRest /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:36151:37
      2    0.0%    0.0%  JS: *isNamedDeclaration /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:15028:28
      2    0.0%    0.0%  JS: *hasPrecedingLineBreak /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12119:28
      2    0.0%    0.0%  JS: *get metadata /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/Alias.js:21:17
      2    0.0%    0.0%  JS: *get hasMetadata /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/Alias.js:15:20
      2    0.0%    0.0%  JS: *forEachChildInBlock /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32785:29
      2    0.0%    0.0%  JS: *finishNode /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33818:22
      2    0.0%    0.0%  JS: *createJsxElement /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:27854:28
      2    0.0%    0.0%  JS: *broadcast /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/subscriber/Broadcaster.js:19:20
      2    0.0%    0.0%  JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:508:33
      1    0.0%    0.0%  RegExp: module\.exports\s*=.*\bNODE_TYPES\b
      1    0.0%    0.0%  RegExp: graphql`([\s\S]*?)` {1}
      1    0.0%    0.0%  RegExp: graphql`([\s\S]*?)`
      1    0.0%    0.0%  RegExp: export\s+.*\bparseColorToHex\b
      1    0.0%    0.0%  RegExp: export\s+.*\banonymous\b
      1    0.0%    0.0%  RegExp: export\s+.*\bNoteCardProps\b
      1    0.0%    0.0%  RegExp: ^```(\w+)\s*$
      1    0.0%    0.0%  RegExp: ^\d\d\d\d-\d\d-\d\d \d\d:\d\d
      1    0.0%    0.0%  RegExp: ^\/\/\/?\s*@(ts-expect-error|ts-ignore)
      1    0.0%    0.0%  RegExp: ^(?:.*\/)?\.felix\.metadata\.db(?=$|\/$)
      1    0.0%    0.0%  RegExp: ^(?:.*\/)?\.felix\.index\.db-[^/]*(?=$|\/$)
      1    0.0%    0.0%  RegExp: ^(?:.*\/)?[^\/]*\.sqlite(?=$|\/$)
      1    0.0%    0.0%  RegExp: \{\{\{[\s\S]*?\}\}\}
      1    0.0%    0.0%  RegExp: \{\{[\s\S]*?\}\}
      1    0.0%    0.0%  RegExp: \{%[\s\S]*?%\}
      1    0.0%    0.0%  RegExp: [^\w\s-]
      1    0.0%    0.0%  RegExp: [\x00-\x1f\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff] {1}
      1    0.0%    0.0%  RegExp: [\x00-\x1f\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      1    0.0%    0.0%  RegExp: [.*+\-?^${}()|[\]\\]
      1    0.0%    0.0%  RegExp: <script(?:\s+[^>]*?type=["']module["'][^>]*?)?>([\s\S]*?)</script>
      1    0.0%    0.0%  RegExp: <script(?:\s+[^>]*?lang=["'](typescript|ts)["'][^>]*?)?>([\s\S]*?)</script> {1}
      1    0.0%    0.0%  RegExp: <script(?:\s+[^>]*?lang=["'](typescript|ts)["'][^>]*?)?>([\s\S]*?)</script>
      1    0.0%    0.0%  RegExp: <script(?!\s+[^>]*?src=)(?:\s[^>]*?)?>([\s\S]*?)</script>
      1    0.0%    0.0%  RegExp: <<["']?EOF["']?([\s\S]*?)EOF
      1    0.0%    0.0%  RegExp: ([ =(]|^.{0})(relationships\.)([^ =(),]+)(?=[ =),]|.{0}$)
      1    0.0%    0.0%  RegExp: ([ =(]|^.{0})(Relationship\.)([^ =(),]+)(?=[ =),]|.{0}$)
      1    0.0%    0.0%  RegExp: (?<=\n) {1}
      1    0.0%    0.0%  RegExp: (?:const|let|var)\s+\w+\s*=\s*(\{[\s\S]*?\})\s*;
      1    0.0%    0.0%  RegExp: (?:^|\/)dist\/$
      1    0.0%    0.0%  RegExp: (?:^|\/)\.felix\.metadata\.db(?=$|\/$)
      1    0.0%    0.0%  RegExp: (?:^|\/)[^\/]*\.sqlite3(?=$|\/$)
      1    0.0%    0.0%  RegExp: (?:^|\/)[^\/]*\.shm(?=$|\/$)
      1    0.0%    0.0%  JS: ^updateNestSetSubjects /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectExecutor.js:410:39
      1    0.0%    0.0%  JS: ^transformRelationCounts /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/RawSqlResultsToEntityTransformer.js:244:28
      1    0.0%    0.0%  JS: ^setCapabilityMetadata file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:326:26
      1    0.0%    0.0%  JS: ^scanNumber /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:12228:22
      1    0.0%    0.0%  JS: ^readPlainScalar file:///Users/epoplive/aigent-smith-clean/code-indexer/node_modules/js-yaml/dist/js-yaml.mjs:1563:25
      1    0.0%    0.0%  JS: ^prepareHydratedValue /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite-abstract/AbstractSqliteDriver.js:242:25
      1    0.0%    0.0%  JS: ^parseNonArrayType /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:35373:29
      1    0.0%    0.0%  JS: ^parseForIndex file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/indexing/parsing/FileParser.js:19:24
      1    0.0%    0.0%  JS: ^parseCaseBlock /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:37275:26
      1    0.0%    0.0%  JS: ^open node:internal/fs/promises:635:20
      1    0.0%    0.0%  JS: ^normalize file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/relationships/services/RelationshipNormalizerService.js:49:14
      1    0.0%    0.0%  JS: ^loadRawResults /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:2193:25
      1    0.0%    0.0%  JS: ^joinEagerRelations /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/find-options/FindOptionsUtils.js:303:30
      1    0.0%    0.0%  JS: ^isIdentifier /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:1379:17
      1    0.0%    0.0%  JS: ^inYieldContext /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33489:26
      1    0.0%    0.0%  JS: ^handler /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:71:42
      1    0.0%    0.0%  JS: ^getStatsFromBinding node:internal/fs/utils:563:29
      1    0.0%    0.0%  JS: ^getOne /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:710:17
      1    0.0%    0.0%  JS: ^forEachChildInJsxOpeningOrSelfClosingElement /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32800:54
      1    0.0%    0.0%  JS: ^extractDocumentation file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1022:25
      1    0.0%    0.0%  JS: ^extractContainmentRelationships file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:590:36
      1    0.0%    0.0%  JS: ^extractClassInheritanceRelationships file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:860:41
      1    0.0%    0.0%  JS: ^executeEntitiesAndRawResults /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1972:39
      1    0.0%    0.0%  JS: ^execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/InsertQueryBuilder.js:38:18
      1    0.0%    0.0%  JS: ^detectRelationships file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:185:24
      1    0.0%    0.0%  JS: ^createUnsafeBuffer node:internal/buffer:1094:28
      1    0.0%    0.0%  JS: ^createHeritageClause /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:28001:32
      1    0.0%    0.0%  JS: ^buildEscapedEntityColumnSelects /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1608:36
      1    0.0%    0.0%  JS: ^_unrefTimer node:net:525:52
      1    0.0%    0.0%  JS: ^_link node:internal/modules/esm/module_job:114:14
      1    0.0%    0.0%  JS: ^SourceFileObject /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:151369:14
      1    0.0%    0.0%  JS: ^SelectQueryBuilder /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/SelectQueryBuilder.js:34:16
      1    0.0%    0.0%  JS: ^LazyTransform node:internal/streams/lazy_transform:16:23
      1    0.0%    0.0%  JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/node_modules/java-parser/src/unicodesets.js:996:14
      1    0.0%    0.0%  JS: ^<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/persistence/SubjectChangedColumnsComputer.js:34:42
      1    0.0%    0.0%  JS: +withJSDoc /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33275:21
      1    0.0%    0.0%  JS: +visitNode2 /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:32307:20
      1    0.0%    0.0%  JS: +validateAttributes node:internal/modules/esm/assert:55:28
      1    0.0%    0.0%  JS: +transform /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/transformer/PlainObjectToNewEntityTransformer.js:13:14
      1    0.0%    0.0%  JS: +strEscape node:internal/util/inspect:518:19
      1    0.0%    0.0%  JS: +some /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:2684:14
      1    0.0%    0.0%  JS: +skipOuterExpressions /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:31603:30
      1    0.0%    0.0%  JS: +setDisallowInContext /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:33408:32
      1    0.0%    0.0%  JS: +set node:internal/modules/esm/module_map:96:6
      1    0.0%    0.0%  JS: +scanJsxIdentifier /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typescript/lib/typescript.js:14359:29
      1    0.0%    0.0%  JS: +replacePropertyNamesForTheWholeQuery /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/query-builder/QueryBuilder.js:432:41
      1    0.0%    0.0%  JS: +release /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite-abstract/AbstractSqliteQueryRunner.js:43:12
      1    0.0%    0.0%  JS: +relKey file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/indexing/parsing/FileParser.js:109:28
