Statistical profiling result from isolate-0x118008000-64678-v8.log, (6882 ticks, 113 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  t _Builtins_GreaterThan_Baseline
      1    0.0%    0.0%  t _Builtins_GetNamedPropertyHandler
      1    0.0%    0.0%  t _Builtins_FunctionPrototypeApply
      1    0.0%    0.0%  t _Builtins_FulfillPromise
      1    0.0%    0.0%  t _Builtins_ForInEnumerate
      1    0.0%    0.0%  t _Builtins_FastNewStrictArguments
      1    0.0%    0.0%  t _Builtins_FastNewSloppyArguments
      1    0.0%    0.0%  t _Builtins_FastNewRestArguments
      1    0.0%    0.0%  t _Builtins_FastNewObject
      1    0.0%    0.0%  t _Builtins_ElementsTransitionAndStore_NoTransitionGrowAndHandleCOW
      1    0.0%    0.0%  t _Builtins_Divide_Baseline
      1    0.0%    0.0%  t _Builtins_Decrement_Baseline
      1    0.0%    0.0%  t _Builtins_DatePrototypeGetUTCMinutes
      1    0.0%    0.0%  t _Builtins_CreateEmptyArrayLiteral
      1    0.0%    0.0%  t _Builtins_CreateDataProperty
      1    0.0%    0.0%  t _Builtins_CopyDataProperties
      1    0.0%    0.0%  t _Builtins_ConstructFunctionForwardVarargs
      1    0.0%    0.0%  t _Builtins_CloneObjectIC_Slow
      1    0.0%    0.0%  t _Builtins_Call_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  t _Builtins_CallWithSpread
      1    0.0%    0.0%  t _Builtins_CallVarargs
      1    0.0%    0.0%  t _Builtins_CallUndefinedReceiverHandler
      1    0.0%    0.0%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      1    0.0%    0.0%  t _Builtins_CallFunctionTemplate_Generic
      1    0.0%    0.0%  t _Builtins_CallFunctionForwardVarargs
      1    0.0%    0.0%  t _Builtins_CallApiCallbackGeneric
      1    0.0%    0.0%  t _Builtins_BitwiseOrSmi_Baseline
      1    0.0%    0.0%  t _Builtins_BitwiseAnd_Baseline
      1    0.0%    0.0%  t _Builtins_AsyncFunctionAwait
      1    0.0%    0.0%  t _Builtins_ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      1    0.0%    0.0%  t _Builtins_ArraySingleArgumentConstructor_HoleySmi_DontOverride
      1    0.0%    0.0%  t _Builtins_ArrayPrototypeFindIndex
      1    0.0%    0.0%  t _Builtins_ArrayIsArray
      1    0.0%    0.0%  t _Builtins_ArrayFrom
      1    0.0%    0.0%  T icu_76::UnicodeString::doReplace(int, int, char16_t const*, int, int)
      1    0.0%    0.0%  T icu_76::MessagePattern::MessagePattern(icu_76::MessagePattern const&)
      1    0.0%    0.0%  T _sha256_block_data_order
      1    0.0%    0.0%  T _pthread_attr_setguardsize
      1    0.0%    0.0%  T _ossl_rcu_lock_new
      1    0.0%    0.0%  T _ossl_rcu_lock_free
      1    0.0%    0.0%  T _os_unfair_lock_lock_with_options
      1    0.0%    0.0%  T _os_sync_wait_on_address
      1    0.0%    0.0%  T _napi_open_handle_scope
      1    0.0%    0.0%  T _md4_block_data_order
      1    0.0%    0.0%  T _mach_vm_purgable_control
      1    0.0%    0.0%  T _guarded_close_np
      1    0.0%    0.0%  T _gethostuuid
      1    0.0%    0.0%  T _getentropy
      1    0.0%    0.0%  T _cerror
      1    0.0%    0.0%  T __pthread_workloop_create
      1    0.0%    0.0%  T ___platform_sigaction
      1    0.0%    0.0%  T ___ioctl
      1    0.0%    0.0%  T _OSSL_trace_set_suffix
      1    0.0%    0.0%  T _EVP_PKEY_CTX_set_dh_kdf_outlen

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3194   46.4%  T _task_policy_set

    985   14.3%  T node::errors::DecorateErrorStack(node::Environment*, v8::Local<v8::Value>, v8::Local<v8::Message>)
     80    8.1%    JS: ^detectModuleFormat node:internal/modules/esm/get_format:36:28
     80  100.0%      JS: ^getFileProtocolModuleFormat node:internal/modules/esm/get_format:111:37
     80  100.0%        JS: ^defaultGetFormat node:internal/modules/esm/get_format:204:26
     80  100.0%          JS: ^defaultLoad node:internal/modules/esm/load:83:27
     80  100.0%            t _Builtins_AsyncFunctionAwaitResolveClosure
     55    5.6%    JS: *object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     24   43.6%      JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:75:50
     24  100.0%        JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
     24  100.0%          JS: *object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     21   87.5%            JS: *query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
      3   12.5%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
     16   29.1%      JS: *query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
     16  100.0%        t _Builtins_AsyncFunctionAwaitResolveClosure
     12   21.8%      JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:87:50
     12  100.0%        JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
     12  100.0%          JS: *object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     10   83.3%            JS: *query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
      2   16.7%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
      3    5.5%      JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:87:50
      3  100.0%        JS: *<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
      3  100.0%          JS: *object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
      3  100.0%            JS: *query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
     52    5.3%    t _Builtins_StringPrototypeSplit
     29   55.8%      JS: +byteToLineColumn file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:236:21
     26   89.7%        JS: +applyDetectorRule file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:185:22
     26  100.0%          JS: +runDetectors file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:150:23
     26  100.0%            JS: ^scanFile file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:31:19
      3   10.3%        JS: ^applyDetectorRule file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:185:22
      3  100.0%          JS: +runDetectors file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:150:23
      3  100.0%            JS: ^scanFile file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:31:19
      7   13.5%      JS: ^byteToLineColumn file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:236:21
      7  100.0%        JS: ^applyDetectorRule file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:185:22
      6   85.7%          JS: +runDetectors file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:150:23
      6  100.0%            JS: ^scanFile file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:31:19
      1   14.3%          JS: ^runDetectors file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:150:23
      1  100.0%            JS: ^scanFile file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/services/BlockScanner.js:31:19
      6   11.5%      JS: ^extractDocumentation file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1022:25
      3   50.0%        JS: ^extractFunctionExpressionComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:376:39
      2   66.7%          JS: ^visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      2  100.0%            JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      1   33.3%          JS: +visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      1  100.0%            JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      2   33.3%        JS: ^extractVariableComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:506:29
      1   50.0%          JS: ^visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      1  100.0%            JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      1   50.0%          JS: +visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      1  100.0%            JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      1   16.7%        JS: ^extractFunctionComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:335:29
      1  100.0%          JS: *visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      1  100.0%            JS: +<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      4    7.7%      JS: ~_t /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:674:6
      4  100.0%        JS: ^_test /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:632:9
      4  100.0%          JS: ^ignores /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:719:11
      4  100.0%            JS: ^shouldIgnore file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/utils/IgnorePatterns.js:60:17
      2    3.8%      JS: ^createFileComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:267:24
      2  100.0%        JS: ^detectComponents file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:153:21
      2  100.0%          JS: ^parseOwnContent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:292:26
      2  100.0%            JS: ^parseContent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:149:23
      1    1.9%      JS: ^linkCSSClassReferences file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/language-servers/typescript/TypeScriptLanguageServer.js:80:27
      1  100.0%        JS: ^linkCrossLanguageReferences file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/language-servers/typescript/TypeScriptLanguageServer.js:71:32
      1  100.0%          JS: ^parse file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/language-servers/base/BaseLanguageServer.js:29:16
      1  100.0%            t _Builtins_AsyncFunctionAwaitResolveClosure
      1    1.9%      JS: +toProjectRelativePosix file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/utils/PathUtils.js:3:39
      1  100.0%        JS: ^storeComponents file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/storage/repositories/ComponentRepository.js:75:26
      1  100.0%          t _Builtins_AsyncFunctionAwaitResolveClosure
      1    1.9%      JS: +extractDocumentation file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1022:25
      1  100.0%        JS: ^extractInterfaceComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:581:30
      1  100.0%          JS: +visitNode file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:223:14
      1  100.0%            JS: *<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:262:31
      1    1.9%      JS: +_t /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:674:6
      1  100.0%        JS: +shouldIgnore file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/utils/IgnorePatterns.js:60:17
      1  100.0%          JS: +walk file:///Users/epoplive/aigent-smith-clean/code-indexer/apps/server/dist/features/indexing/discovery/FileDiscovery.js:32:15
      1  100.0%            t _Builtins_AsyncFunctionAwaitResolveClosure
     38    3.9%    JS: +object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     21   55.3%      JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:87:50
     21  100.0%        JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
     21  100.0%          JS: +object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
     21  100.0%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
      8   21.1%      JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
      8  100.0%        JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:56:28
      8  100.0%          t _Builtins_PromiseConstructor
      8  100.0%            JS: +query /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:42:16
      8   21.1%      JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:75:50
      8  100.0%        JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
      7   87.5%          JS: +object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
      7  100.0%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
      1   12.5%          JS: ^object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
      1  100.0%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
      1    2.6%      JS: ^<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:75:50
      1  100.0%        JS: +<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/sqlite3.js:7:21
      1  100.0%          JS: +object.<computed> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/sqlite3/lib/trace.js:6:32
      1  100.0%            JS: +execute /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/typeorm/driver/sqlite/SqliteQueryRunner.js:62:33
     37    3.8%    JS: ^wrapSafe node:internal/modules/cjs/loader:1613:18
     36   97.3%      JS: ^<anonymous> node:internal/modules/cjs/loader:1673:37
     36  100.0%        JS: ^<anonymous> node:internal/modules/cjs/loader:1869:37
     35   97.2%          JS: ^<anonymous> node:internal/modules/cjs/loader:1443:33
     35  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1181:24
      1    2.8%          JS: ^<anonymous> node:internal/modules/cjs/loader:1181:24
      1  100.0%            JS: ^traceSync node:diagnostics_channel:320:12
      1    2.7%      JS: ^<anonymous> node:internal/modules/cjs/loader:1181:24
      1  100.0%        JS: ^traceSync node:diagnostics_channel:320:12
      1  100.0%          JS: ^wrapModuleLoad node:internal/modules/cjs/loader:227:24
      1  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1472:36
     32    3.2%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
     16   50.0%      JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      3   18.8%        JS: ~<anonymous> node:internal/fs/promises:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      3   18.8%        JS: ~<anonymous> node:internal/child_process:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      2   12.5%        JS: ~<anonymous> node:internal/streams/duplex:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      2   12.5%        JS: ~<anonymous> node:internal/main/run_main_module:1:1
      1    6.3%        JS: ~initCJSParseSync node:internal/modules/esm/translators:79:26
      1  100.0%          JS: ~commonjsStrategy node:internal/modules/esm/translators:301:54
      1  100.0%            JS: ~#translate node:internal/modules/esm/loader:465:13
      1    6.3%        JS: ~getTranslators node:internal/modules/esm/loader:84:24
      1  100.0%          JS: ~ModuleLoader node:internal/modules/esm/loader:122:3
      1  100.0%            JS: ~ModuleLoader node:internal/modules/esm/loader:158:14
      1    6.3%        JS: ~<anonymous> node:stream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    6.3%        JS: ~<anonymous> node:net:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    6.3%        JS: ~<anonymous> node:internal/streams/operators:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    6.3%        JS: ~<anonymous> node:internal/fs/streams:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
     12   37.5%      JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      3   25.0%        JS: ~<anonymous> node:crypto:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      3  100.0%            JS: ~builtinStrategy node:internal/modules/esm/translators:408:52
      2   16.7%        JS: ~<anonymous> node:perf_hooks:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      2  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      2   16.7%        JS: ~<anonymous> node:internal/perf/performance:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      2  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      1    8.3%        t _Builtins_CEntry_Return1_ArgvOnStack_NoBuiltinExit
      1  100.0%          JS: ~<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/lru-cache/dist/commonjs/index.js:1:1
      1  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1673:37
      1    8.3%        JS: ~<anonymous> node:readline/promises:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      1    8.3%        JS: ~<anonymous> node:internal/perf/usertiming:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      1    8.3%        JS: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      1    8.3%        JS: ~<anonymous> node:internal/crypto/cipher:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:424:24
      3    9.4%      JS: ~builtinStrategy node:internal/modules/esm/translators:408:52
      3  100.0%        JS: ^#translate node:internal/modules/esm/loader:465:13
      3  100.0%          JS: ^loadAndTranslate node:internal/modules/esm/loader:518:25
      3  100.0%            t _Builtins_AsyncFunctionAwaitResolveClosure
      1    3.1%      JS: ^compileForPublicLoader node:internal/bootstrap/realm:335:25
      1  100.0%        JS: ^loadBuiltinModule node:internal/modules/helpers:101:27
      1  100.0%          JS: ^loadBuiltinWithHooks node:internal/modules/cjs/loader:1153:30
      1  100.0%            JS: ^<anonymous> node:internal/modules/cjs/loader:1181:24
     21    2.1%    t _Builtins_RegExpPrototypeTest
     14   66.7%      JS: +<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1065:36
     14  100.0%        t _Builtins_ArraySome
      9   64.3%          JS: ^isExported file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1058:15
      4   44.4%            JS: ^extractInterfaceComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:581:30
      3   33.3%            JS: ^extractFunctionComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:335:29
      2   22.2%            JS: ^extractVariableComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:506:29
      5   35.7%          JS: +isExported file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1058:15
      2   40.0%            JS: ^extractVariableComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:506:29
      1   20.0%            JS: ^extractTypeAliasComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:630:30
      1   20.0%            JS: ^extractInterfaceComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:581:30
      1   20.0%            JS: ^extractFunctionExpressionComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:376:39
      5   23.8%      JS: ^<anonymous> file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1065:36
      5  100.0%        t _Builtins_ArraySome
      5  100.0%          JS: ^isExported file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/BaseLanguageParser.js:1058:15
      4   80.0%            JS: ^extractInterfaceComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:581:30
      1   20.0%            JS: ^extractVariableComponent file:///Users/epoplive/aigent-smith-clean/code-indexer/packages/code-intelligence/dist/code-parser/parsers/JavaScriptParser.js:506:29
      1    4.8%      JS: ~splitOptionFlags /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/commander/lib/option.js:311:26
      1  100.0%        JS: ~Option /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/commander/lib/option.js:11:14
      1  100.0%          JS: ~createOption /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/commander/lib/command.js:511:15
      1  100.0%            JS: ~_optionEx /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/commander/lib/command.js:610:12
      1    4.8%      JS: ~<anonymous> /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:508:25
      1  100.0%        t _Builtins_ArrayForEach
      1  100.0%          JS: ~test /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:503:8
      1  100.0%            JS: ~_t /Users/epoplive/aigent-smith-clean/code-indexer/node_modules/ignore/index.js:674:6
     21    2.1%    JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
     13   61.9%      JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      2   15.4%        JS: ~lib/dispatcher/client.js node:internal/deps/undici/undici:7550:29
      2  100.0%          JS: ~__require node:internal/deps/undici/undici:5:49
      2  100.0%            JS: ~lib/dispatcher/pool.js node:internal/deps/undici/undici:8059:27
      2   15.4%        JS: ~<anonymous> node:http2:1:1
      2  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      2   15.4%        JS: ^get node:internal/util:621:17
      2  100.0%          t _Builtins_CEntry_Return1_ArgvOnStack_NoBuiltinExit
      2  100.0%            JS: ~lib/web/fetch/response.js node:internal/deps/undici/undici:9039:30
      1    7.7%        JS: ~lazyReadableReleasedError node:internal/webstreams/readablestream:152:35
      1  100.0%          JS: ~readableStreamReaderGenericRelease node:internal/webstreams/readablestream:2213:44
      1  100.0%            JS: ~<anonymous> node:internal/webstreams/readablestream:773:11
      1    7.7%        JS: ~<anonymous> node:worker_threads:1:1
      1  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    7.7%        JS: ~<anonymous> node:tls:1:1
      1  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    7.7%        JS: ~<anonymous> node:internal/webstreams/readablestream:1:1
      1  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    7.7%        JS: ~<anonymous> node:internal/http2/core:1:1
      1  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:424:24
      1    7.7%        JS: ~<anonymous> node:internal/assert/assertion_error:1:1
      1  100.0%          JS: +compileForInternalLoader node:internal/bootstrap/realm:387:27
